30,-1,26,2,-1,6
1,-1,-1,9,-1,7
-1,27,28,-1,9,-1
-1,-1,5,11,10,-1
-1,29,30,-1,-1,4
-1,30,1,-1,-1,11
-1,-1,2,-1,13,12
-1,-1,9,-1,14,13
2,3,-1,-1,-1,8
-1,4,11,-1,-1,15
4,-1,6,-1,-1,10
-1,-1,7,13,-1,17
12,7,8,-1,-1,-1
-1,8,-1,21,-1,19
-1,-1,10,16,21,-1
15,-1,17,23,-1,-1
-1,-1,12,18,-1,16
17,-1,-1,19,-1,23
18,-1,14,-1,25,-1
-1,-1,23,27,26,-1
14,15,-1,-1,-1,20
-1,-1,23,-1,28,27
16,-1,18,-1,-1,22
-1,-1,-1,-1,30,29
-1,19,-1,26,-1,30
25,20,-1,-1,-1,1
20,-1,22,-1,3,-1
-1,22,29,-1,-1,3
-1,-1,24,-1,5,28
-1,24,-1,1,6,-1
