30, -1, 26, 2, 7, -1
1, 26, -1, -1, 8, -1
26, 27, 28, 4, -1, -1
3,-1,-1,11,-1,9
28, 29, -1, 6, -1, -1
5,-1,-1,-1,12,11
-1,1,-1,8,13,-1
7, 2, -1, 15, -1, -1
-1, -1, 4, 10, 15, -1
9,-1,-1,-1,16,15
4, -1, 6, -1, 17, -1
-1,6,-1,13,-1,17
12, 7, -1, 14, -1, -1
13, -1, -1, 21, -1, 19
8, 9, 10, -1, -1, -1
-1,10,17,-1,-1,21
-1, 11,12,-1,-1,16 
-1,-1,-1,19,24,23
18,-1,14,-1,25,-1
-1,-1,21,27,-1,25
14,-1,16,-1,-1,20
-1,-1,23,29,-1,27
-1,-1,18,24,-1,22 
23,18,-1,-1,30,-1
-1,19,20,-1,-1,30
-1,-1,-1,3,2,1
20,-1,22,-1,3,-1 
-1,-1,29,5,-1,3
22,-1,-1,-1,5,28 
-1,24,25,1,-1,-1 
