30,25,26,-1,-1,6
-1,26,-1,9,-1,7
26,27,28,-1,9,-1
-1,28,5,-1,10,-1
28,29,30,-1,-1,4
-1,30,1,7,12,11
6,-1,2,-1,-1,12
-1,-1,-1,15,14,13
2,3,-1,10,-1,-1
9,4,-1,17,-1,-1
-1,-1,6,12,17,-1
11,6,7,13,-1,-1
12,-1,8,-1,-1,18
-1,8,-1,21,-1,19
8,-1,-1,16,21,-1
15,-1,17,-1,22,-1
10,11,-1,-1,-1,16
-1,-1,13,19,-1, 23
18,-1,-1,20,-1,24
19,-1,21,27,-1,-1
14,15,-1,-1,-1,20
-1,16,-1,29,-1,27
-1,-1,18,24,29,-1
23,-1,19,25,30,-1
24,-1,-1,-1,1,30
-1,-1,-1,3,2,1
20,-1,22,-1,3,-1
-1,-1,-1,5,4,3
22,23,-1,-1,5,-1
-1,24,25,1,6,5
