30,25,-1,-1,-1,6
-1,26,3,-1,8,7
-1,-1,-1,4,9,2
3,28,-1,-1,10,-1
-1,-1,30,6,11,-1
5,-1,1,-1,12,-1
-1,-1,2,8,-1,12
7,2,-1,-1,14,-1
-1,3,-1,10,15,-1
9,4,-1,17,-1,15
-1,5,-1,12,17,-1
11,6,-1,-1,18,-1
-1,-1,-1,14,19,18
13,8,-1,-1,20,-1
-1,9,10,-1,21,-1
-1,-1,17,-1,22,21
10,11,-1,-1,-1,16
-1,12,13,-1,24,-1
-1,13,-1,20,25,-1
19,24,-1,-1,-1,25
-1,-1,16,22,27,-1
21,16,-1,-1,28,-1
-1,-1,-1,24,29,-1
23,18,-1,-1,-1,29
-1,19,20,-1,1,-1
-1,-1,27,-1,2,-1
-1,21,-1,28,-1,26
27,22,-1,-1,4,-1
-1,23,24,30,-1,-1
29,-1,-1,1,-1,5
